Implement,GivenName,LastName,Initials,OfficeName,Description,Mail,StreetAddress,City,PostalCode,State,Country,Company,Department,EmployeeID,ExtensionAttribute1,Title,Phone,ProfilePath,ScriptPath,HomeDirectory,HomeDrive,Password,PasswordNeverExpires,Enabled,TargetOU,Group
Yes,David,Goebel,,Corporate,,dgoebel@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Administration,131,,Executive Assistant,603-555-0230,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Administration
Yes,Wilma,Bailey,,Corporate,,wbailey@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Administration,132,,Office Manager,603-555-0231,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Administration
Yes,Albert,Brinkley,,Corporate,,abrinkley@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Administration,136,,Digital Librarian,603-555-0235,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Administration
Yes,Richard,Dale,,Corporate,,rdale@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Executives,1,,CEO,603-555-0100,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Executives
Yes,George,Seward,,Corporate,,gseward@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Finance,123,,CFO,603-555-0222,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Finance
Yes,Elenor,Keeter,,Corporate,,ekeeter@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Finance,124,,Financial Controller,603-555-0223,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Finance
Yes,Joseph,Baker,,Corporate,,jbaker@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Finance,125,,Manager Accounts Payable,603-555-0224,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Finance
Yes,Keith,Jarrett,,Corporate,,kjarrett@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Finance,126,,Manager Accounts Receivable,603-555-0225,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Finance
Yes,Lisa,Propst,,Corporate,,lpropst@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Finance,127,,Purchasing Manager,603-555-0226,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Finance
Yes,Lorenze,Horton,,Corporate,,lhorton@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Finance,128,,Assistant Controller,603-555-0227,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Finance
Yes,Linda,Potts,,Corporate,,lpotts@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Finance,129,,Finance Intern,603-555-0228,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Finance
Yes,Ronald,Smallwood,,Corporate,,rsmallwood@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Finance,130,,Finance Intern,603-555-0229,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Finance
Yes,Mallory,Clarkhill,,Corporate,,mclarkhill@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Information Technology,137,,Director IT ,603-555-0236,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Information Technology
Yes,Elizabeth,Earp,,Corporate,,eearp@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Information Technology,138,,Manager IT,603-555-0237,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Information Technology
Yes,Marion,Robertson,,Corporate,,mrobertson@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Information Technology,139,,Manager IT,603-555-0238,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Information Technology
Yes,Shirley,Summerlin,,Corporate,,ssummerlin@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Information Technology,140,,Dev/Ops,603-555-0239,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Information Technology
Yes,Susan,Clark,,Corporate,,sclark@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Information Technology,141,,IT Intern,603-555-0240,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Information Technology
Yes,Rose,Watson,,Corporate,,rwatson@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Information Technology,142,,IT Intern,603-555-0241,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Information Technology
Yes,Roger,Leak,,Corporate,,rleak@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Legal,143,,Corporate Compliance,603-555-0242,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Legal
Yes,Jennifer,Powell,,Corporate,,jpowell@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Legal,144,,Chief Counsel,603-555-0243,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Legal
Yes,Alfred,Nelson,,Corporate,,anelson@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Marketing,17,,VP Marketing,603-555-0116,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Marketing
Yes,Janice,Price,,Corporate,,jprice@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Marketing,18,,Director of Corporate Branding,603-555-0117,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Marketing
Yes,James,Caudle,,Corporate,,jcaudle@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Marketing,19,,Director of Marketing,603-555-0118,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Marketing
Yes,Willie,Venable,,Corporate,,wvenable@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Marketing,20,,Manager Marketing Communications ,603-555-0119,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Marketing
Yes,William,Cooley,,Corporate,,wcooley@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Marketing,21,,Manager Social Presence,603-555-0120,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Marketing
Yes,Charlie,Harris,,Corporate,,charris@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Marketing,22,,Marketing Intern,603-555-0121,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Marketing
Yes,Elizabeth,Young,,Corporate,,eyoung@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Marketing,23,,Marketing Intern,603-555-0122,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Marketing
Yes,Walter,Rainey,,Corporate,,wrainey@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Marketing,24,,Marketing Intern,603-555-0123,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Marketing
Yes,Finn,Stainback,,Corporate,,fstainback@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Marketing,25,,Marketing Intern,603-555-0124,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Marketing
Yes,Clarence,Towns,,Corporate,,ctowns@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Sales,2,,VP Sales,603-555-0101,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Sales
Yes,Sam,Sasser,,Corporate,,ssasser@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Sales,3,,Director of Sales,603-555-0102,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Sales
Yes,Leon,Martin,,Corporate,,lmartin@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Sales,4,,Director of Sales,603-555-0103,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Sales
Yes,Wallace,Arrington,,Corporate,,warrington@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Sales,5,,Director of Sales,603-555-0104,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Sales
Yes,Albert,Harris,,Corporate,,aharris@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Sales,6,,Regional Sales Manager,603-555-0105,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Sales
Yes,Pharoah,Parker,,Corporate,,pparker@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Sales,7,,Regional Sales Manager,603-555-0106,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Sales
Yes,Gladys,Wilson,,Corporate,,gwilson@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Sales,8,,Regional Sales Manager,603-555-0107,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Sales
Yes,Ruby,Huggins,,Corporate,,rhuggins@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Sales,9,,Inside Sales,603-555-0108,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Sales
Yes,John,Cassady,,Corporate,,jcassady@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Sales,10,,Inside Sales,603-555-0109,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Sales
Yes,Delmas,Ross,,Corporate,,dross@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Sales,11,,Inside Sales,603-555-0110,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Sales
Yes,Nancy,Bolan,,Corporate,,nbolan@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Sales,12,,Inside Sales,603-555-0111,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Sales
Yes,Perlina,Frederick,,Corporate,,pfrederick@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Sales,13,,Inside Sales ,603-555-0112,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Sales
Yes,Doctor,Lucas,,Corporate,,dlucas@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Sales,14,,Inside Sales,603-555-0113,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Sales
Yes,Rebecca,Ray,,Corporate,,rray@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Sales,15,,Inside Sales,603-555-0114,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Sales
Yes,Mozell,Flood,,Corporate,,mflood@dgse.local,140 Toro Blvd,Nashua,03062,New Hampshire,US,Tech Management Labs,Sales,16,,Inside Sales,603-555-0115,,,\\dgsa-discovery.dgse.local\Home$\%Username%,H:,d@t@Gr11,TRUE,TRUE,ou=TML Users,Sales
